configuration,run_id,dataset,split,seed,selection,objective,sampling,model,preprocessing,augmentation,loss,trial_accuracy,window_accuracy,subject_mean_accuracy,macro_f1,kappa,retained_test,requested_test,retained_train,requested_train,parameters,seconds,peak_cuda_bytes
raspy_whole,bci2a-43bbc20cee1248674abc,bci2a,A06-time-50,42,strict,whole,whole,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.5868055555555556,0.5868055555555556,0.5868055555555556,0.5828205500461598,0.44907407407407407,288,288,288,288,1828,441.1655407845974,76986880
standard_whole,bci2a-4594ae8fedcb38d8a2fb,bci2a,A07-time-50,42,strict,whole,whole,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""standard"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.7152777777777778,0.7152777777777778,0.7152777777777778,0.713679260263184,0.6203703703703703,288,288,288,288,2124,583.9672225769609,77063168
raspy_window,bci2a-525ba42d394c26eb57a8,bci2a,A09-time-50,42,strict,window,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.7951388888888888,0.639336917562724,0.7951388888888888,0.7861583745341707,0.7268518518518519,288,288,288,288,1444,1246.5103986002505,125408768
standard_window,bci2a-54844ee0c320899811dc,bci2a,A03-time-50,42,strict,window,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""standard"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.8298611111111112,0.7092293906810035,0.8298611111111112,0.8251589630716556,0.7731481481481481,288,288,288,288,1548,1676.9210534822196,125365760
raspy_window,bci2a-5959c928a7429a75db20,bci2a,A04-time-50,42,strict,window,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.4479166666666667,0.3912410394265233,0.4479166666666667,0.37607496954404607,0.26388888888888884,288,288,288,288,1444,1298.344378741458,125408768
standard_whole,bci2a-5f3e036eaa06d9270751,bci2a,A09-time-50,42,strict,whole,whole,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""standard"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.7534722222222222,0.7534722222222222,0.7534722222222222,0.7521429885750059,0.6712962962962963,288,288,288,288,2124,1029.837605856359,77055488
standard_window,bci2a-5fc61c8d239c4a0170f3,bci2a,A09-time-50,42,strict,window,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""standard"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.7708333333333334,0.62959229390681,0.7708333333333334,0.7698559898346866,0.6944444444444444,288,288,288,288,1548,1779.2126234266907,125380608
raspy_whole,bci2a-6a4948f73578e0df59f9,bci2a,A08-time-50,42,strict,whole,whole,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.7847222222222222,0.7847222222222222,0.7847222222222222,0.7836897440696445,0.712962962962963,288,288,288,288,1828,669.6515590213239,76986880
raspy_mil,bci2a-6b737d2b5d397dc367a2,bci2a,A06-time-50,42,strict,mil,dense,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.4131944444444444,0.3492383512544803,0.4131944444444444,0.3948538605239545,0.21759259259259256,288,288,288,288,1444,806.6346140056849,125341184
raspy_whole,bci2a-713f7fc2c4599e12af43,bci2a,A05-time-50,42,strict,whole,whole,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5796485247580044,0.4444444444444444,288,288,288,288,1828,569.1012476775795,77003776
raspy_whole,bci2a-88811769dcfd31239e9d,bci2a,A03-time-50,42,strict,whole,whole,"{""d"": 2, ""dropout"": 0.5, ""extra"": 0, ""f1"": 8, ""f2"": 16, ""family"": ""raspy"", ""kernel"": 51}",full,"{""budget"": ""matched"", ""copies"": 4, ""strength"": 1.0}",mse,0.8090277777777778,0.8090277777777778,0.8090277777777778,0.8067146569228725,0.7453703703703703,288,288,288,288,1828,1157.4886266328394,77071360
